X_s,Y_s,X_p,Y_p,X_d,Y_d,X_f,Y_f,X_sum,Y_sum
-22.2112841572612,0,-22.2112841572612,0,-22.2112841572612,0,-22.2112841572612,0,-22.2112841572612,0
-22.2003072570043,0,-22.2003072570043,0,-22.2003072570043,0,-22.2003072570043,0,-22.2003072570043,0
-21.1245710318272,0.000123571501531953,-20.9050330266891,0.000112629830368718,-20.8830792261752,0.00010668536005678,22.859868297607,0,-21.1245710318272,0.000125734172228351
-21.1135941315703,0.000158433571468314,-20.8940561264322,0.000137452304064802,-20.8721023259183,0.000128426715179503,,,-21.1135941315703,0.00016120637618536
-21.1026172313134,0.000202519978154637,-20.8830792261752,0.000167168550516388,-20.8611254256614,0.000154157241063818,,,-21.1026172313134,0.000206064355432249
-21.0916403310565,0.000258095422701714,-20.8721023259183,0.000201271300039819,-20.8501485254045,0.000184515783011863,,,-21.0916403310565,0.000262612446454211
-21.0806634307996,0.000327932533354556,-20.8611254256614,0.000241641907362126,-20.8391716251476,0.00022022534633316,,,-21.0806634307996,0.000333671802291886
-21.0696865305427,0.000415413376332581,-20.8501485254045,0.000289287134425903,-20.8281947248907,0.000262756919508143,,,-21.0696865305427,0.000422683679960428
-21.0587096302858,0.000524648240172778,-20.8391716251476,0.000345347181465252,-20.8172178246338,0.000312545477175105,,,-21.0587096302858,0.000533830303681533
-21.0477327300289,0.000660613942222087,-20.8281947248907,0.000412460857838971,-20.8062409243769,0.000370022672410008,,,-21.0477327300289,0.00067217559192905
-21.036755829772,0.000829314045976103,-20.8172178246338,0.000491140741993698,-20.79526402412,0.000436852424775629,,,-21.036755829772,0.000843828178790782
-21.0257789295151,0.00103796349064087,-20.8062409243769,0.000581687047899373,-20.7842871238631,0.00051489786942157,,,-21.0257789295151,0.00105612927480073
-21.0148020292581,0.00129520020894556,-20.79526402412,0.000687029728044546,-20.7733102236061,0.000604601395153266,,,-21.0148020292581,0.00131786798835367
-21.0038251290012,0.00161132633368754,-20.7842871238631,0.000810851559952629,-20.7623333233492,0.000707990429684136,,,-21.0038251290012,0.00163952675369539
-20.9928482287443,0.00199858155412492,-20.7733102236061,0.000952640789708052,-20.7513564230923,0.000826802058853334,,,-20.9928482287443,0.00203355947142692
-20.9818713284874,0.00247145106520057,-20.7623333233492,0.00111620445218163,-20.7403795228354,0.000963483896806398,,,-20.9818713284874,0.0025147048472622
-20.9708944282305,0.0031084245133989,-20.7513564230923,0.00130434304362055,-20.7294026225785,0.00111916529503398,,,-20.9708944282305,0.00316291578282101
-20.9599175279736,0.00388551313724878,-20.7403795228354,0.00152167517386647,-20.7184257223216,0.00129652569010246,,,-20.9599175279736,0.00395374821715667
-20.9489406277167,0.00476924808549509,-20.7294026225785,0.00176890232156958,-20.7074488220647,0.00149869778141962,,,-20.9489406277167,0.0048530151068069
-20.9379637274598,0.00583677577202696,-20.7184257223216,0.00205090553876833,-20.6964719218078,0.00172776447018584,,,-20.9379637274598,0.00593930852816117
-20.9269868272029,0.00712227752322398,-20.7074488220647,0.00237339337136119,-20.6854950215509,0.00198595726072746,,,-20.9269868272029,0.00724741220792001
-20.916009926946,0.00866540432042187,-20.6964719218078,0.00273956198370277,-20.674518121294,0.00227755591901352,,,-20.916009926946,0.00881767618275229
-20.9050330266891,0.0105119707474891,-20.6854950215509,0.00315228630010152,-20.6635412210371,0.00260449206791457,,,-20.9050330266891,0.0106967230752951
-20.8940561264322,0.0127751443837036,-20.674518121294,0.00362019678879192,-20.6525643207802,0.00297076215052037,,,-20.8940561264322,0.0130004741000135
-20.8830792261752,0.0154719294275196,-20.6635412210371,0.00414499256199878,-20.6415874205233,0.00337997120660774,,,-20.8830792261752,0.0157457833380928
