File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-1.34711,-28.4678,-1.65097,-26.8168,-28.4678
op_01 (3 1 1).std.csv,-1.42242,-28.5431,-1.74982,-26.7933,-28.5431
op_02 (3 1 1).std.csv,-1.40528,-28.5259,-1.70614,-26.8198,-28.5259
op_03 (3 1 1).std.csv,-1.36169,-28.4824,-1.66248,-26.8199,-28.4824
op_04 (3 1 1).std.csv,-1.1493,-28.27,-1.45196,-26.818,-28.27
op_05 (3 1 1).std.csv,-1.28169,-28.4023,-1.58277,-26.8196,-28.4023
op_06 (3 1 1).std.csv,-1.32759,-28.4483,-1.62915,-26.8191,-28.4483
op_07 (3 1 1).std.csv,-1.30239,-28.423,-1.60324,-26.8198,-28.423
op_08 (3 1 1).std.csv,-1.37585,-28.4965,-1.67723,-26.8193,-28.4965
op_09 (3 1 1).std.csv,-1.32464,-28.4453,-1.62573,-26.8196,-28.4453
op_10 (3 1 1).std.csv,-1.32685,-28.4475,-1.628,-26.8195,-28.4475
op_11 (3 1 1).std.csv,-1.36516,-28.4858,-1.66599,-26.8198,-28.4858
op_12 (3 1 1).std.csv,-1.33942,-28.4601,-1.64066,-26.8194,-28.4601
op_13 (3 1 1).std.csv,-1.35644,-28.4771,-1.65738,-26.8197,-28.4771
op_14 (3 1 1).std.csv,-1.33227,-28.4529,-1.65738,-26.7955,-28.4529
op_15 (3 1 1).std.csv,-1.37736,-28.498,-1.67831,-26.8197,-28.498
op_16 (3 1 1).std.csv,-1.33289,-28.4535,-1.63369,-26.8199,-28.4535
op_17 (3 1 1).std.csv,-1.32857,-28.4492,-1.63049,-26.8187,-28.4492
op_18 (3 1 1).std.csv,-1.30398,-28.4246,-1.605,-26.8196,-28.4246
op_19 (3 1 1).std.csv,-1.31803,-28.4387,-1.61972,-26.819,-28.4387
op_20 (3 1 1).std.csv,-1.29946,-28.4201,-1.60089,-26.8192,-28.4201
op_21 (3 1 1).std.csv,-1.32559,-28.4463,-1.62698,-26.8193,-28.4463
op_23 (3 1 1).std.csv,-1.34317,-28.4638,-1.64399,-26.8198,-28.4638
op_24 (3 1 1).std.csv,-1.32162,-28.4423,-1.6226,-26.8197,-28.4423
op_26 (3 1 1).std.csv,-1.26937,-28.39,-1.57056,-26.8195,-28.39
op_28 (3 1 1).std.csv,-1.25887,-28.3795,-1.55967,-26.8199,-28.3795
op_29 (3 1 1).std.csv,-1.35786,-28.4785,-1.65917,-26.8193,-28.4785
op_30 (3 1 1).std.csv,-1.34694,-28.4676,-1.64784,-26.8198,-28.4676
op_31 (3 1 1).std.csv,-1.26173,-28.3824,-1.56278,-26.8196,-28.3824
op_32 (3 1 1).std.csv,-1.22077,-28.3414,-1.52594,-26.8155,-28.3414
op_33 (3 1 1).std.csv,-1.37241,-28.4931,-1.67322,-26.8198,-28.4931
op_34 (3 1 1).std.csv,-1.33109,-28.4518,-1.6322,-26.8196,-28.4518
op_35 (3 1 1).std.csv,-1.31489,-28.4356,-1.61575,-26.8198,-28.4356
op_36 (3 1 1).std.csv,-1.37423,-28.4949,-1.67537,-26.8195,-28.4949
op_37 (3 1 1).std.csv,-1.33225,-28.4529,-1.63527,-26.8176,-28.4529
op_38 (3 1 1).std.csv,-1.36434,-28.485,-1.66515,-26.8199,-28.485
op_39 (3 1 1).std.csv,-1.10915,-28.2298,-1.41047,-26.8193,-28.2298
op_40 (3 1 1).std.csv,-1.35608,-28.4767,-1.65717,-26.8196,-28.4767
op_41 (3 1 1).std.csv,-1.236,-28.3567,-1.53762,-26.8191,-28.3567
op_42 (3 1 1).std.csv,-1.31201,-28.4327,-1.61587,-26.8168,-28.4327
op_43 (3 1 1).std.csv,-1.22716,-28.3478,-1.52876,-26.8191,-28.3478
op_44 (3 1 1).std.csv,-1.2878,-28.4085,-1.58881,-26.8197,-28.4085
op_45 (3 1 1).std.csv,-1.32167,-28.4423,-1.62279,-26.8195,-28.4423
op_46 (3 1 1).std.csv,-1.34017,-28.4608,-1.64121,-26.8196,-28.4608
op_50 (3 1 1).std.csv,-1.22699,-28.3477,-1.52804,-26.8196,-28.3477
op_52 (3 1 1).std.csv,-1.36512,-28.4858,-1.66598,-26.8198,-28.4858
op_54 (3 1 1).std.csv,-1.28732,-28.408,-1.58809,-26.8199,-28.408
